Target,Mass (Msun),M minus error,M plus error,Error confidence,System,Reference,URL
J1946+2052,--,--,1.35,,DNS,Table 1 of Farrow et al. 2019,https://arxiv.org/abs/1902.03300
,--,1.17,--,,DNS,,
J1756-2251,1.341,0.007,0.007,,DNS,,
,1.23,0.007,0.007,,DNS,,
J0737-3039A/B,1.3381,0.007,0.007,,DNS,,
,1.2489,0.007,0.007,,DNS,,
J1906+0746,1.322,0.011,0.011,,DNS,,
,1.291,0.011,0.011,,DNS,,
B1534+12,1.333,0.0002,0.0002,,DNS,,
,1.3455,0.0002,0.0002,,DNS,,
B2127+11C,1.358,0.01,0.01,,DNS,,
,1.354,0.01,0.01,,DNS,,
J1757-1854,1.3384,0.0009,0.0009,,DNS,,
,1.3946,0.0009,0.0009,,DNS,,
J0509+3801,1.34,0.08,0.08,,DNS,,
,1.46,0.08,0.08,,DNS,,
B1913+16,1.4398,0.0002,0.0002,,DNS,,
,1.3886,0.0002,0.0002,,DNS,,
J1913+1102,1.65,0.05,0.05,,DNS,,
,1.24,0.05,0.05,,DNS,,
J1807-2500B,1.3655,0.0021,0.0021,,DNS,,
,1.2064,0.0021,0.0021,,DNS,,
J1518+4904,1.41,0.08,0.08,,DNS,,
,1.31,0.08,0.08,,DNS,,
J0453+1559,1.559,0.005,0.005,,DNS,,
,1.174,0.004,0.004,,DNS,,
J1411+2551,--,--,$<1.64$,,DNS,,
,--,$>0.92$,--,,DNS,,
J1811-1736,--,--,$<1.75$,,DNS,,
,--,$>0.91$,--,,DNS,,
J1829+2456,--,--,$<1.36$,,DNS,,
,--,$>1.25$,--,,DNS,,
J1930-1852,--,--,$<1.32$,,DNS,,
,--,$>1.30$,--,,DNS,,
