Target,Mass (Msun),M minus error,M plus error,Error confidence,System,Reference ,URL
J1748-2021B,2.74,0.21,0.21,1σ,NS-WD,,
B1516+02B,2.08,0.19,0.19,1σ,NS-WD,,
J1614-2230,1.97,0.04,0.04,1σ,NS-WD,,
J1748-2446I,1.91,0.10,0.02,1σ,NS-WD,,
J2043+1711,1.85,0.15,0.15,1σ,NS-WD,,
J1748-2446J,1.79,0.10,0.02,1σ,NS-WD,,
J0437-4715,1.76,0.20,0.20,1σ,NS-WD,,
J0621+1002,1.70,0.17,0.10,1σ,NS-WD,,
J1012+5307,1.64,0.22,0.22,1σ,NS-WD,,
J1910+1256,1.60,0.60,0.60,1σ,NS-WD,,
B1855+09,1.57,0.11,0.12,1σ,NS-WD,,
J1738+0333,1.55,0.55,0.55,1σ,NS-WD,,
J1713+0747,1.53,0.06,0.08,1σ,NS-WD,,
J0514-4002A,1.49,0.27,0.04,1σ,NS-WD,,
J0024-7204H,1.48,0.06,0.03,1σ,NS-WD,,
J1909-3744,1.47,0.02,0.03,1σ,NS-WD,,
J1853+1303,1.40,0.50,0.70,1σ,NS-WD,,
B2303+46,1.38,0.10,0.06,1σ,NS-WD,,
B1911-5958A,1.34,0.08,0.08,1σ,NS-WD,,
J1804-2718,1.30,0.40,0.40,1σ,NS-WD,,
J1141-6545,1.27,0.01,0.01,1σ,NS-WD,,
B1802-07,1.26,0.17,0.08,1σ,NS-WD,,
J0751+1807,1.26,0.14,0.14,1σ,NS-WD,,
J1750-37A,1.26,0.36,0.39,1σ,NS-WD,,
B1802-2124,1.24,0.11,0.11,1σ,NS-WD,,
J2019+2425,1.21,0.31,0.31,1σ,NS-WD,,
J1045-4509,1.19,0.29,0.29,1σ,NS-WD,,
J2106+1948,1.00,0.10,0.50,1σ,NS-WD,,
