Target,Mass (Msun),M minus error,M plus error,Error confidence,System,Reference ,URL
4U 1700-377,2.44,0.27,0.27,1σ,XRB,Table 1 of Lattimer 2013,https://arxiv.org/pdf/1305.3510.pdf
B1957+20,2.39,0.29,0.36,1σ,XRB,,
4U 1822-371,1.96,0.35,0.36,1σ,XRB,,
Vela X-1,1.77,0.08,0.08,1σ,XRB,,
Cyg X-2,1.71,0.21,0.21,1σ,XRB,,
EXO 1722-363,1.55,0.47,0.47,1σ,XRB,,
XTE J2123-058,1.53,0.42,0.30,1σ,XRB,,
Cen X-3,1.49,0.08,0.08,1σ,XRB,,
IGR J18027-2016,1.47,0.32,0.38,1σ,XRB,,
OAO 1657-415,1.42,0.26,0.26,1σ,XRB,,
2S 0921-630,1.40,0.10,0.10,1σ,XRB,,
LMC X-4,1.29,0.05,0.05,1σ,XRB,,
Her X-1,1.07,0.17,0.36,1σ,XRB,,
SMC X-1,1.04,0.09,0.09,1σ,XRB,,
4U 1538-52,1.00,0.10,0.10,1σ,XRB,Table 1 of Lattimer 2013,https://docs.google.com/spreadsheets/d/1cUdB6wxjRmqPMHBDhH2xH0NqzX1P36r6ei9RKS0QRpo/edit#gid=859231835
