Dataset 0,,Dataset 1,,core,
X,Y,X,Y,X,Y
14.418439716312056,33.60315186246418,14.456737588652482,33.50573065902579,14.71631205673759,34.691977077363894
14.435460992907801,33.654727793696274,14.470921985815602,33.53438395415473,14.707801418439717,34.72636103151862
14.452482269503546,33.683381088825215,14.486524822695035,33.58595988538682,14.713475177304964,34.795128939828075
14.466666666666667,33.72349570200573,14.504964539007092,33.64899713467049,14.724822695035462,34.84670487106017
14.483687943262412,33.786532951289395,14.521985815602838,33.712034383954155,14.740425531914894,34.881088825214896
14.49645390070922,33.82664756446991,14.546099290780141,33.77507163323782,14.757446808510638,34.91547277936962
14.51063829787234,33.88395415472779,14.560283687943263,33.83810888252149,14.775886524822695,34.93266475644699
14.52482269503546,33.95272206303725,14.577304964539007,33.88395415472779,14.797163120567376,34.95558739255014
14.53758865248227,34.004297994269336,14.598581560283687,33.94126074498567,14.818439716312056,34.97851002865329
14.55177304964539,34.050143266475644,14.61418439716312,34.004297994269336,14.84113475177305,34.99570200573066
14.563120567375886,34.107449856733524,14.632624113475178,34.04441260744986,14.860992907801418,35.00716332378223
14.578723404255319,34.17621776504298,14.652482269503546,34.1189111747851,14.88368794326241,35.03008595988538
14.591489361702127,34.239255014326645,14.675177304964539,34.17048710601719,14.907801418439716,35.04727793696275
14.608510638297872,34.28510028653295,14.693617021276596,34.222063037249285,14.927659574468086,35.05873925501432
14.62127659574468,34.34813753581662,14.71063829787234,34.28510028653295,14.948936170212766,35.07593123209169
14.63404255319149,34.411174785100286,14.726241134751772,34.33094555873925,14.96595744680851,35.07593123209169
14.652482269503546,34.47421203438395,14.743262411347517,34.38825214899713,14.95886524822695,35.01862464183381
14.666666666666666,34.52578796561605,14.763120567375886,34.439828080229226,14.941843971631206,34.9727793696275
14.682269503546099,34.58309455587392,14.782978723404256,34.50859598853868,14.919148936170213,34.921203438395416
14.695035460992909,34.646131805157594,14.801418439716311,34.55444126074498,14.895035460992908,34.88681948424069
14.709219858156029,34.69770773638968,14.821276595744681,34.61174785100286,14.87659574468085,34.86962750716332
14.724822695035462,34.76074498567335,14.836879432624114,34.65186246418338,14.85531914893617,34.823782234957015
14.740425531914894,34.81805157593123,14.853900709219857,34.71489971346705,14.832624113475177,34.81232091690544
14.753191489361702,34.86962750716332,14.870921985815603,34.76074498567335,14.811347517730496,34.7836676217765
14.768794326241135,34.9269340974212,14.89078014184397,34.81805157593123,14.795744680851064,34.76074498567335
14.782978723404256,34.98997134670487,14.906382978723403,34.881088825214896,14.771631205673758,34.7378223495702
14.8,35.03581661891117,14.927659574468086,34.921203438395416,14.757446808510638,34.71489971346705
14.817021276595744,35.10458452722063,14.943262411347519,34.967048710601716,14.73758865248227,34.691977077363894
14.835460992907802,35.16189111747851,14.960283687943262,35.01862464183381,,
14.852482269503547,35.219197707736384,14.981560283687942,35.087392550143264,,
14.872340425531915,35.276504297994265,15.002836879432625,35.144699140401144,,
14.89078014184397,35.32234957020057,15.024113475177305,35.173352435530084,,
14.914893617021276,35.35100286532951,15.041134751773049,35.2134670487106,,
14.934751773049646,35.391117478510026,15.062411347517731,35.27077363896848,,
14.956028368794327,35.43123209169054,15.086524822695035,35.316618911174785,,
14.975886524822695,35.45988538681948,15.104964539007092,35.362464183381086,,
14.995744680851065,35.49426934097421,15.126241134751773,35.41404011461318,,
15.017021276595745,35.52292263610315,15.14609929078014,35.448424068767906,,
15.043971631205673,35.57449856733524,15.168794326241134,35.477077363896846,,
15.065248226950354,35.60888252148997,15.190070921985816,35.50573065902579,,
15.086524822695035,35.63753581661891,15.205673758865249,35.54011461318051,,
15.104964539007092,35.66618911174785,,,,
15.121985815602837,35.69484240687679,,,,
15.141843971631205,35.72349570200573,,,,
15.160283687943263,35.757879656160455,,,,
15.175886524822694,35.77507163323782,,,,
